title,link,authors,publication,description,Year,language,flag,what to do,,
A hierarchical feature-based methodology to perform cervical cancer classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:J-pR_7NvFogC,"DN Diniz, MT Rezende, AGC Bianchi, CM Carneiro, DM Ushizima, ...","Applied Sciences 11 (9), 4091, 2021","Prevention of cervical cancer could be performed using Pap smear image analysis. This test screens pre-neoplastic changes in the cervical epithelial cells; accurate screening can reduce deaths caused by the disease. Pap smear test analysis is exhaustive and repetitive work performed visually by a cytopathologist. This article proposes a workload-reducing algorithm for cervical cancer detection based on analysis of cell nuclei features within Pap smear images. We investigate eight traditional machine learning methods to perform a hierarchical classification. We propose a hierarchical classification methodology for computer-aided screening of cell lesions, which can recommend fields of view from the microscopy image based on the nuclei detection of cervical cells. We evaluate the performance of several algorithms against the Herlev and CRIC databases, using a varying number of classes during image classification. Results indicate that the hierarchical classification performed best when using Random Forest as the key classifier, particularly when compared with decision trees, k-NN, and the Ridge methods. View Full-Text",2021,en,,,,
An iterated local search-based algorithm to support cell nuclei detection in Pap smears test,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:f2IySw72cVMC,"DN Diniz, MJF Souza, CM Carneiro, DM Ushizima, FNS de Medeiros, ...","International Conference on Enterprise Information Systems, 78-96, 2019","  The focus of this work is on the detection of nuclei in synthetic images of cervical cells. Finding nuclei is an important step in building a computational method to help cytopathologists identify cell changes from Pap smears. The method developed in this work combines both the Multi-Start and the Iterated Local Search metaheuristics and uses the features of a region to identify a nucleus. It aims to improve the assertiveness of the screening and reduce the professional workload. The irace package was used to automatically calibrate all parameter values of the method. The proposed approach was compared with other methods in the literature according to recall, precision, and F1 metrics using the ISBI Overlapping Cytology Image Segmentation Challenge database (2014). The results show that the proposed method has the second-best values of F1 and recall, while the accuracy is still high.",2019,en,,,,
An Iterated Local Search Algorithm for Cell Nuclei Detection from Pap Smear Images.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:dfsIfKJdRG4C,"DN Diniz, MJF Souza, CM Carneiro, DM Ushizima, FNS de Medeiros, ...","ICEIS (1), 319-327, 2019","In this work, we propose an Iterated Local Search (ILS) approach to detect cervical cell nuclei from digitized Pap smear slides. The problem consists in finding the best values for the parameters to identify where the cell nuclei are located in the image. This is an important step in building a computational tool to help pathologists to identify cell alterations from Pap tests. Our approach is evaluated by using the ISBI Overlapping Cervical Cytology Image Segmentation Challenge (2014) database, which has 945 synthetic images and their respective ground truth. The precision achieved by the proposed heuristic approach is among the best ones in the literature; however, the recall still needs improvement.",2019,en,,,,
Corner detection within a multiscale framework,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:hFOr9nPyWt4C,"FN Bezerra, D Ushizima","2011 24th SIBGRAPI Conference on Graphics, Patterns and Images, 141-148, 2011","We present a new multi scale method for corner detection. The proposed algorithm embodies an undecorated wavelet decomposition of the angulations signal of a shape contour to identify significant points on it. It detects peaks that persist through several scales from the correlation signal between scales of its non-orthogonal sub-band decompositions. These peaks correspond to high curvature points (HCPs). Furthermore, we compare the proposed method with others available in the literature, including the well-known curvature scale-space (CSS) method. The quantitative assessment of the algorithms is provided by some figures of merit (FOM) measures that indicate which method better detects the relevant points in terms of compaction and shape reconstruction.",2011,en,,,,
Chromatin texture characterization using multiscale fractal dimension,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:mvPsJ3kp5DgC,"DMU Sabino, EK Nakamura, LF Costa, RT Calado, MA Zago","2002 14th International Conference on Digital Signal Processing Proceedings …, 2002","A new approach to chromatin texture characterization is proposed, based on the recently introduced concept of multiscale fractal dimension. Promising results for differentiating normal from abnormal blood cells have been obtained by considering the peaks of multiscale fractal dimension after Minkowski-Bouligand dilation of the nucleus gray tones. Results for a lymphocyte database exemplify the potential of the method with respect to nuclear texture discrimination. A brief review of related works is also included, focusing on statistical approaches.",2002,en,,,,
Deep learning for Alzheimer's disease: Mapping large-scale histological tau protein for neuroimaging biomarker validation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:Y5dfb0dijaUC,"D Ushizima, Y Chen, M Alegro, D Ovando, R Eser, WH Lee, K Poon, ...","NeuroImage 248, 118790, 2022","Abnormal tau inclusions are hallmarks of Alzheimer's disease and predictors of clinical decline. Several tau PET tracers are available for neurodegenerative disease research, opening avenues for molecular diagnosis in vivo. However, few have been approved for clinical use. Understanding the neurobiological basis of PET signal validation remains problematic because it requires a large-scale, voxel-to-voxel correlation between PET and (immuno) histological signals. Large dimensionality of whole human brains, tissue deformation impacting co-registration, and computing requirements to process terabytes of information preclude proper validation. We developed a computational pipeline to identify and segment particles of interest in billion-pixel digital pathology images to generate quantitative, 3D density maps. The proposed convolutional neural network for immunohistochemistry samples, IHCNet, is at the …",2022,en,,,,
Lung ct screening with 3d convolutional neural network architectures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:CHSYGLWDkRkC,"TJB Lima, D Ushizima, AO de Carvalho Filho, FHD de Araújo","2020 IEEE 17th International Symposium on Biomedical Imaging Workshops (ISBI …, 2020","The standard tests for diagnosis of pulmonary cancer are imaging, sputum cytology and lung biopsy, with chest computed tomography (CT) playing a major role in the early detection of nodules, which increases the patients survival. The challenge is to analyze these images automatically, for example, the nodules density often resembles other pulmonary structures evidenced in CTs. This paper proposes an automated algorithm to classify pulmonary nodules into benign or malignant. Our contribution is to design and test 3D Convolutional Neural Networks using a public CT image collection, optimize the results of the proposed approach considering varying input sizes and numbers of convolutional layers, as well as compare with several previous approaches on CT analysis. Promising results show accuracy of 0.9040, kappa of 0.7624, sensitivity of 0.8630, specificity of 0.9191 and AUC of 0.8911 during malignant …",2020,en,,,,
Automatic Classification of Cervical Cell Patches based on Non-geometric Characteristics.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:Tiz5es2fbqcC,"DWA Isidoro, CM Carneiro, MT Resende, FNS de Medeiros, DM Ushizima, ...","VISIGRAPP (5: VISAPP), 845-852, 2020","This work presents a proposal for an efficient classification of cervical cells based on non-geometric characteristics extracted from nuclear regions of interested. This approach is based on the hypothesis that the nuclei store much of the information about the lesions in addition to their areas being more visible even with a high level of celular overlap, a common fact in the Pap smears images. Classification systems were used in two and three classes for a set of real images of the cervix from a supervised learning method. The results demonstrate high classification performance and high efficiency for applicability in realistic environments, both computational and biological.",2020,en,,,,
Convolutional neural networks at the interface of physical and digital data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:j3f4tGmQtD8C,"D Ushizima, C Yang, S Venkatakrishnan, F Araujo, R Silva, H Tang, ...","2016 IEEE Applied Imagery Pattern Recognition Workshop (AIPR), 1-12, 2016","Electron and X-ray interactions with matter can be recorded as digital images, which are signal acquisition mechanisms often used to investigate materials microstructure. Recently, the ability to quickly acquire large datasets at high resolution has created new challenges in areas that rely upon image-based information. The proposed analysis schemes employ Convolutional Neural Networks as the core algorithm in the reconnaissance of expected events from data gathered in two regimes: experimentally and by simulation. At the interface of physical and digital datasets, we propose classification schemes that exploit complex geometrical structure from scientific images through different machine learning packages, such as MatConvNet and TensorFlow. Our results show correct classification rates over 90% considering thousands of samples from four image modalities: cryo-electron microscopy, X-ray diffraction, X …",2016,en,,,,
Poster: I/O workload analysis with server-side data collection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:k_IJM867U9cC,"A Uselton, D Ushizima","Proceedings of the 2011 Companion on High Performance Computing Networking …, 2011","A detailed understanding of high-performance computer (HPC) file system read and write (I/O) workloads allows stakeholders to evaluate the effectiveness of the I/O infrastructure and identify bottlenecks and other issues. Always-on, server-side monitoring, like that provided by the Lustre Monitoring Tool, permits a comprehensive and nonintrusive mechanism for capturing details of the I/O workload. The statistical properties of data movement to and from mass storage on an HPC system reveal transaction patterns that connect the server-side observations back to the computer-side jobs that caused them. This paper lays out strategies to characterize such patterns using I/O statistics.",2011,en,,,,
Morphological segmentation for sagittal plane image analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:UeHWp8X0CEIC,"FN Bezerra, IC Paula, FNS Medeiros, DM Ushizima, LHS Cintra","2010 Annual International Conference of the IEEE Engineering in Medicine and …, 2010","This paper introduces a morphological image segmentation method by applying watershed transform with markers to scale-space smoothed images and furthermore provides images for clinical monitoring and analysis of patients. The database comprises sagittal plane images taken from a digital camera of patients submitted to Global Postural Reeducation (GPR) physiotherapy treatment. Orthopaedic specialists can use these segmented images to diagnose posture problems, assess physiotherapy treatment evolution and thus reduce diagnostic errors due to subjective analysis.",2010,en,,,,
Hierarchical median narrow band for level set segmentation of cervical cell nuclei,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:V3AGJWp-ZtQC,"AM Braga, RCP Marques, FNS Medeiros, JFSR Neto, AGC Bianchi, ...","Measurement 176, 109232, 2021","This paper presents a novel hierarchical nuclei segmentation algorithm for isolated and overlapping cervical cells based on a narrow band level set implementation. Our method applies a new multiscale analysis algorithm to estimate the number of clusters in each image region containing cells, which turns into the input to a narrow band level set algorithm. We assess the nuclei segmentation results on three public cervical cell image databases. Overall, our segmentation method outperformed six state-of-the-art methods concerning the number of correctly segmented nuclei and the Dice coefficient reached values equal to or higher than 0.90. We also carried out classification experiments using features extracted from our segmentation results and the proposed pipeline achieved the highest average accuracy values equal to 0.89 and 0.77 for two-class and three-class problems, respectively. These results …",2021,en,,,,
Deep learning for Alzheimer’s disease: Mapping large-scale histological tau protein for neuroimaging biomarker validation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:EUQCXRtRnyEC,"M Alegro, Y Chen, D Ovando, H Heinser, R Eser, D Ushizima, D Tosun, ...","bioRxiv, 698902, 2020"," Deposits of abnormal tau protein inclusions in the brain are a pathological hallmark of Alzheimer’s disease (AD), and are the best predictor of neuronal loss and clinical decline, but have been limited to postmortem assessment. Imaging-based biomarkers to detect tau deposits in vivo could leverage AD diagnosis and monitoring beginning in pre-symptomatic disease stages. Several PET tau tracers are available for research studies, but validation of such tracers against direct detection of tau deposits in brain tissue remains incomplete because of methodological limitations. Confirmation of the biological basis of PET binding requires large-scale voxel-to-voxel correlation has been challenging because of the dimensionality of the whole human brain histology data, deformation caused by tissue processing that precludes registration, and the need to process terabytes of information to cover the whole human brain volume at microscopic resolution. In this study, we created a computational pipeline for segmenting tau inclusions in billion-pixel digital pathology images of whole human brains, aiming at generating quantitative, tridimensional tau density maps that can be used to decipher the distribution of tau inclusions along AD progression and validate PET tau tracers. Our pipeline comprises several pre- and post-processing steps developed to handle the high complexity of these brain digital pathology images. SlideNet, a convolutional neural network designed to process our large datasets to locate and segment tau inclusions, is at the core of the pipeline. Using our novel method, we have successfully processed over 500 slides from two whole …",2020,en,,,,
First attempts at applying machine learning to ALS storage ring stabilization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:ZHo1McVdvXMC,"SC Leemann, P Amstutz, MP Ehrlichman, T Hellert, A Hexemer, S Liu, ...","10th Int. Particle Accelerator Conf.(IPAC'19), Melbourne, Australia, May, 2019","The ALS storage ring operates multiple feedbacks and feed-forwards during user operations to ensure that various source properties such as beam position, beam angle, and beam size are maintained constant. Without these active corrections, strong perturbations of the electron beam would result from constantly varying ID gaps and phases. An important part of the ID gap/phase compensation requires recording feed-forward tables. While recording such tables takes a lot of time during dedicated machine shifts, the resulting compensation data is imperfect due to machine drift both during and after recording of the table. Since it is impractical to repeat recording feed-forward tables on a more frequent basis, we have decided to employ Machine Learning techniques to improve ID compensation in order to stabilize electron beam properties at the source points.",2019,en,,,,
Gradient boosting decision trees for echocardiogram images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:RYcK_YlVTxYC,"VV de Melo, DM Ushizima, SF Baracho, RC Coelho","2018 International Joint Conference on Neural Networks (IJCNN), 1-8, 2018","High-throughput medical imaging procedures, such as echocardiogram, motivate the development of new computational tools to support specialists in decision making. This paper introduces a method to detect the posterior wall of the left ventricle from echocardiogram images, considering the PLAX view. Using a Light Gradient Boosting Machine, we evaluated a classification problem and compared results with Classification and Regression Trees using k-fold cross-validation regarding five quality measures. Experimental analysis shows that the proposed approach achieves relevant median scores of 61% for Dice, 67% for Sensitivity and 98% for Specificity on a dataset of only 69 images from three different sources. With some post-processing, the median Dice score increased to 78%. Although further improvements must be considered before deploying such a tool for clinical utilization, the results presented in this …",2018,en,,,,
Vessel network detection using contour evolution and color components,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:_Qo2XoVZTnwC,"DM Ushizima, FNS Medeiros, J Cuadros, CIO Martins","2010 Annual International Conference of the IEEE Engineering in Medicine and …, 2010","Automated retinal screening relies on vasculature segmentation before the identification of other anatomical structures of the retina. Vasculature extraction can also be input to image quality ranking, neovascularization detection and image registration. An extensive related literature often excludes the inherent heterogeneity of ophthalmic clinical images. The contribution of this paper consists in an algorithm using front propagation to segment the vessel network, including a penalty on the wait queue to the fast marching method, which minimizes leakage of the evolving boundary. The algorithm requires no manual labeling of seeds, a minimum number of parameters and it is capable of segmenting color ocular fundus images in real scenarios, where multi-ethnicity and brightness variations are parts of the problem.",2010,en,,,,
Data Analysis using the R Project for Statistical Computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:M3NEmzRMIkIC,D Ushizima,"NERSC Analytics/Visualization and Math Groups Lawrence Berkeley National …, 0","Data Analysis using the R Project for Statistical Computing Page 1 1 Data Analysis using the 
R Project for Statistical Computing Daniela Ushizima NERSC Analytics/Visualization and Math 
Groups Lawrence Berkeley National Laboratory Page 2 2 Outline I. R-programming – Why to 
use R – R in the scientific community – Extensible – Graphics – Profiling II. Exploratory data 
analysis – Regression – Clustering algorithms III. Case study – Accelerated laser-wakefield 
particles IV. HPC – State-of-the-art Page 3 3 R-PROGRAMMING Packages, data visualization 
and examples Page 4 4 Download: http://www.r-project.org Recommended tutorial: 
http://cran.r-project.org/doc/contrib/Paradisrdebuts_en.pdf is a language and environment 
for statistical computing and graphics, a GNU project. R provides a wide variety of statistical 
(linear and nonlinear modeling, classical statistical tests, time-series analysis, classification, …",0,en,,,,
An ensemble method for nuclei detection of overlapping cervical cells,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:olpn-zPbct0C,"DN Diniz, RF Vitor, AGC Bianchi, S Delabrida, CM Carneiro, ...","Expert Systems with Applications 185, 115642, 2021","The Pap test is a preventive approach that requires specialized and labor-intensive examination of cytological preparations to track potentially cancerous cells from the internal and external cervix surface. A cytopathologist must analyze many microscopic fields while screening for abnormal cells. Therefore there is hope that a support decision system could assist with clinical diagnosis, for example, by identifying sub-cellular abnormalities, such as changes in the nuclei features. This work proposes an ensemble method for cervical nuclei detection aiming to reduce the workload of cytopathologists. First, a preprocessing phase divides the original image into superpixels, which are input to feature extraction and selection algorithms. The proposed ensemble method combines three classifiers: Decision Tree (DT), Nearest Centroid (NC), and k-Nearest Neighbors (k-NN), which are evaluated against the ISBI’14 …",2021,en,,,,
3D Nanotomography of calcium silicate hydrates by transmission electron microscopy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:nb7KW1ujOQ8C,"P Viseshchitra, P Ercius, PJM Monteiro, M Scott, D Ushizima, J Li, K Xu, ...","Journal of the American Ceramic Society 104 (4), 1852-1862, 2021"," Calcium silicate hydrate (C‐S‐H), is the principal hydration product of Portland cement that mainly contributes to the physical and mechanical properties of concrete. This paper aims to investigate the three‐dimensional structure of C‐S‐H with Ca/Si ratios of 1.0 and 1.6 at the nanoscale using electron tomography. The 3D reconstructions and selected region of interest analysis confirm that the morphology of both C‐S‐H materials are foil‐like structures. The difference between the two materials is the density of elongated structures. C‐S‐H with Ca/Si ratio 1.6 is clearly composed of denser particles compared to the other C‐S‐H material due to overlapping of the foil‐like structure. Pore analysis shows that C‐S‐H 1.0 and C‐S‐H 1.6 have porosities 69.2% and 49.8% respectively. Pore size distribution also reveals that C‐S‐H 1.0 has pore size range between 0‐250 nm and C‐S‐H 1.6 between 0‐100 nm. The pore …",2021,en,,,,
Active contours for overlapping cervical cell segmentation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:kRWSkSYxWN8C,"FHD Araújo, RRV Silva, FNS Medeiros, JFR Neto, PHC Oliveira, ...","International Journal of Biomedical Engineering and Technology 35 (1), 70-92, 2021","The nuclei and cytoplasm segmentation of cervical cells is a well studied problem. However, the current segmentation algorithms are not robust to clinical practice due to the high computational cost or because they cannot accurately segment cells with high overlapping. In this paper, we propose a method that is capable of segmenting both cytoplasm and nucleus of each individual cell in a clump of overlapping cells. The proposed method consists of three steps: 1) cellular mass segmentation; 2) nucleus segmentation; 3) cytoplasm identification based on an active contour method. We carried out experiments on both synthetic and real cell images. The performance evaluation of the proposed method showed that it was less sensitive to the increase in the number of cells per image and the overlapping ratio against two other existing algorithms. It has also achieved a promising low processing time and, hence, it has …",2021,en,,,,
Interactive parallel workflows for synchrotron tomography,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:P5F9QuxV20EC,"DY Parkinson, H Krishnan, D Ushizima, M Henderson, S Cholia","2020 IEEE/ACM 2nd Annual Workshop on Extreme-scale Experiment-in-the-Loop …, 2020","The constant stream of new users, samples, and experimental approaches at many light source beam lines means a single refined set of processing steps and parameters can seldom be re-used, and instead an interactive approach to exploring parameter space is required. But the many large data sets often generated during experiments mean that testing even one set of parameters is time intensive. We present two approaches to leverage parallel high performance computing to quickly and interactively explore parameter space for a large number of data sets, in the context of synchrotron tomography. The first approach uses a combination of template Jupyter notebooks with custom widgets, along with Papermill, and Dask. The second approach leverages the workflow infrastructure of Xi-Cam and Cam-Link, an ecosystem designed for real-time interactive exploration of data at user facilities.",2020,en,,,,
Fusion of color bands using genetic algorithm to segment melanoma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:xtRiw3GOFMkC,"RL Araújo, DM Ushizima, RRV Silva","2020 IEEE 17th International Symposium on Biomedical Imaging Workshops (ISBI …, 2020","Melanoma is often associated with changes in the color, size or shape of a mole. Several tools, including smartphone apps, have been developed for the detection of melanoma through medical images. To interpret the information in these images efficiently, it is necessary to isolate key regions of interest. In this research, we analyze the impact of evolutionary computing on the segmentation of melanoma through the fusion of color bands from the images. The tests performed on the PH2 image base showed a 20% improvement in the average Dice compared to using the standard intensity, a promising result toward obtaining more efficient and accurate melanoma screening.",2020,en,,,,
Saliency-driven system models for cell analysis with deep learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:rO6llkc54NcC,"DS Ferreira, GLB Ramalho, D Torres, AHG Tobias, MT Rezende, ...","Computer methods and programs in biomedicine 182, 105053, 2019","Background and objectives: Saliency refers to the visual perception quality that makes objects in a scene to stand out from others and attract attention. While computational saliency models can simulate the expert’s visual attention, there is little evidence about how these models perform when used to predict the cytopathologist’s eye fixations. Saliency models may be the key to instrumenting fast object detection on large Pap smear slides under real noisy conditions, artifacts, and cell occlusions. This paper describes how our computational schemes retrieve regions of interest (ROI) of clinical relevance using visual attention models. We also compare the performance of different computed saliency models as part of cell screening tasks, aiming to design a computer-aided diagnosis systems that supports cytopathologists.Method: We record eye fixation maps from cytopathologists at work, and compare with 13 different …",2019,en,,,,
"Advances in Visual Computing: 14th International Symposium on Visual Computing, ISVC 2019, Lake Tahoe, NV, USA, October 7–9, 2019, Proceedings, Part II",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:D03iK_w7-QYC,"G Bebis, R Boyle, B Parvin, D Koracin, D Ushizima, S Chai, S Sueda, ...","Springer Nature, 2019","This book constitutes the refereed proceedings of the 14th International Symposium on Visual Computing, ISVC 2019, held in Lake Tahoe, NV, USA in October 2019. The 100 papers presented in this double volume were carefully reviewed and selected from 163 submissions. The papers are organized into the following topical sections: Deep Learning I; Computer Graphics I; Segmentation/Recognition; Video Analysis and Event Recognition; Visualization; ST: Computational Vision, AI and Mathematical methods for Biomedical and Biological Image Analysis; Biometrics; Virtual Reality I; Applications I; ST: Vision for Remote Sensing and Infrastructure Inspection; Computer Graphics II; Applications II; Deep Learning II; Virtual Reality II; Object Recognition/Detection/Categorization; and Poster.",2019,en,f,,,
Evaluating fiber detection models using neural networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:fPk4N6BV_jEC,"S Miramontes, DM Ushizima, DY Parkinson","International Symposium on Visual Computing, 541-552, 2019","  Ceramic matrix composites are resistant materials that withstand high temperatures, but quality control of such composites depends on microtomography image analysis to enable the spatial analysis of fibers, matrix cracks detection, among others. While there are several approaches for fiber detection from microtomography, materials scientists lack computational schemes to validate the accuracy of different fiber detection models. This paper proposes a set of statistical methods to analyse images of CMC in 3D and visualize respective fiber beds, including a lossless data reduction algorithm. The main contribution is our method based on a convolutional neural network that enables evaluation of results from automated fiber detection models, particularly when compared with human curated datasets. We build all the algorithms using free tools to allow full reproducibility of the experiments, and illustrate our …",2019,en,,,,
Distributed memory parallel markov random fields using graph partitioning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:blknAaTinKkC,"C Heinemann, T Perciano, D Ushizima, EW Bethel","2017 IEEE International Conference on Big Data (Big Data), 3332-3341, 2017","Markov random fields (MRF) based algorithms have attracted a large amount of interest in image analysis due to their ability to exploit contextual information about data. Image data generated by experimental facilities, though, continues to grow larger and more complex, making it more difficult to analyze in a reasonable amount of time. Applying image processing algorithms to large datasets requires alternative approaches to circumvent performance problems. Aiming to provide scientists with a new tool to recover valuable information from such datasets, we developed a general purpose distributed memory parallel MRF-based image analysis framework (MPI-PMRF). MPI-PMRF overcomes performance and memory limitations by distributing data and computations across processors. The proposed approach was successfully tested with synthetic and experimental datasets. Additionally, the performance of the MPI …",2017,en,,,,
Towards Exascale: High Performance Visualization and Analytics-Project Status Report,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:eQOLeE2rZwMC,E Bethel,,"The LBNL Visualization research program focuses on a key set of problems facing our community as we move towards the exascale regime of computing. First, we aim to better understand how to effectively take advantage of an evolving architectural landscape where there are an increasing number of cores per processor by examining algorithmic reformulation and alternative methods of programming these increasingly complex platforms. Second, as the gap widens between computational and I/O capacity, it is increasingly imperative to perform more visual data exploration and analysis operations concurrent with the simulation to avoid increasingly expensive I/O. Our approach is to examine several interrelated issues aimed at minimizing the memory footprint, data movement, and design/implementation issues related to deploying tools that can have broad applicability across many different simulation codes and science domains. Third, increasing computational power produces larger and more complex scientific data, and our research program focuses on new technologies aimed at enabling scientific data understanding with ever-larger data. Here, we explore how multi-resolution data representation techniques can reduce data movement, and study novel approaches that focus visualization and analysis processing on subsets of data that are “scientifically interesting,” thereby also minimizing data movement while accelerating scientific knowledge discovery.",,en,f,"Bethel, E. Wes; Childs, Hank; Howison, Mark; Krishnan, Hari; Loring, Burlen; Meyer, Joerg; Ruebel, Oliver; Ushizima, Daniela; Weber, Gunther; Camp, David",2012,"Technical Report, LBNL-5767E"
A reusable pipeline for large-scale fiber segmentation on unidirectional fiber beds using fully convolutional neural networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:UxriW0iASnsC,"AF de Siqueira, DM Ushizima, S van der Walt","arXiv preprint arXiv:2101.04823, 2021","Fiber-reinforced ceramic-matrix composites are advanced materials resistant to high temperatures, with application to aerospace engineering. Their analysis depends on the detection of embedded fibers, with semi-supervised techniques usually employed to separate fibers within the fiber beds. Here we present an open computational pipeline to detect fibers in ex-situ X-ray computed tomography fiber beds. To separate the fibers in these samples, we tested four different architectures of fully convolutional neural networks. When comparing our neural network approach to a semi-supervised one, we obtained Dice and Matthews coefficients greater than , reaching up to , showing that the network results are close to the human-supervised ones in these fiber beds, in some cases separating fibers that human-curated algorithms could not find. The software we generated in this project is open source, released under a permissive license, and can be freely adapted and re-used in other domains. All data and instructions on how to download and use it are also available.",2021,en,,,,
Data science and machine learning for polymer films and beyond,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:pyW8ca7W8N0C,"D Ushizima, M Noack, A Hexemer","Bulletin of the American Physical Society 65, 2020","As a powerful example of how machine learning (ML) algorithms can streamline discovery from experimental data, scientists at the LBNL Advanced Light Source have employed Convolutional Neural Networks (CNN)[1, 2] to enable lattice structure classification using diffraction patterns, and Gaussian process regression to construct surrogate models and error functions based on the limited experimental data. Diffraction patterns have come from Grazing Incidence Small Angle X-ray Scattering (GISAXS), a surface sensitive technique with increasingly usage growth in probing complex morphologies, such as conductive polymers. GISAXS allows electron density correlation analyses at surfaces by combining features from small-angle X-ray scattering and diffuse X-ray reflectivity. Resulting scattering patterns work as signatures, which depend on the size, shape, and arrangement of the nano-structured components. We …",2020,en,,,,
